,company,type,rating,reviewers,age,highly_ratedFOR,critically_ratedFOR
1813,Craftsman Automation,Industrial Machinery ,3.9,410 Reviews,38 years old,"Salary & Benefits, Skill Development / Learning","Company Culture, Job Security, Work Life Balance"
1814,H & R Johnson,Building Material ,4.0,407 Reviews,28 years old,Salary & Benefits,
1815,Monte Carlo,Fashion & Textile ,4.2,413 Reviews,40 years old,"Salary & Benefits, Company Culture, Work Life Balance",
1816,iNurture Education Solutions,EdTech ,2.7,415 Reviews,19 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
1817,Five-Star Business Finance,NBFC ,4.4,414 Reviews,40 years old,"Job Security, Company Culture, Work Satisfaction",
1818,Perficient,IT Services & Consulting ,3.7,413 Reviews,27 years old,,
1819,Mecon,Metals & Mining ,3.9,412 Reviews,65 years old,"Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Job Security, Salary & Benefits"
1820,RenewBuy,Insurance ,3.8,412 Reviews,10 years old,"Promotions / Appraisal, Job Security",
1821,BMC Software,IT Services & Consulting ,4.2,410 Reviews,44 years old,"Company Culture, Work Life Balance, Salary & Benefits",
1822,Sayaji Hotels,Hospitality ,4.3,407 Reviews,37 years old,"Company Culture, Work Life Balance, Skill Development / Learning",
1823,Ge T & D India,Electrical Equipment ,4.3,404 Reviews,67 years old,"Company Culture, Work Life Balance, Skill Development / Learning",
1824,Vijai Electricals,Power ,3.6,402 Reviews,51 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
1825,Nagarjuna Fertilizers and Chemicals,Agro Chemicals ,4.0,409 Reviews,39 years old,"Skill Development / Learning, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
1826,Hpl Electric & Power,Electrical Equipment ,3.6,408 Reviews,32 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
1827,Super Smelters,Metals & Mining ,4.0,408 Reviews,29 years old,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal"
