,company,type,rating,reviewers,age,highly_ratedFOR,critically_ratedFOR
8980,TEXILA AMERICAN UNIVERSITY,Education & Training ,4.1,82 Reviews,14 years old,"Work Life Balance, Skill Development / Learning, Work Satisfaction",
8981,Robo Silicon,Metals & Mining ,4.3,82 Reviews,25 years old,"Company Culture, Job Security, Salary & Benefits",
8982,Saroj Educational Group,Education & Training ,4.5,82 Reviews,,"Work Life Balance, Work Satisfaction, Job Security",
8983,M.B.A Consulting India,Financial Services ,4.0,82 Reviews,11 years old,"Company Culture, Work Satisfaction",
8984,Lazza Ice Creams,Food Processing ,3.5,82 Reviews,52 years old,"Job Security, Company Culture, Work Satisfaction",
8985,Core Energy Systems Limited,Power ,4.2,82 Reviews,,"Skill Development / Learning, Work Life Balance, Company Culture",
8986,Daurala Sugar Works,Food Processing ,4.1,82 Reviews,,"Job Security, Company Culture",Promotions / Appraisal
8987,Mangalore Chemicals & Fertilizers,Agro Chemicals ,4.4,82 Reviews,50 years old,"Job Security, Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
8988,Lark Laboratories (I),Pharma ,3.1,82 Reviews,45 years old,"Company Culture, Work Life Balance, Salary & Benefits",
8989,Shah Alloys,Iron & Steel ,3.7,82 Reviews,34 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
8990,Sankei Giken,Auto Components ,4.2,82 Reviews,76 years old,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
8991,Poddar Tyres,Auto Components ,4.0,82 Reviews,43 years old,Job Security,"Skill Development / Learning, Promotions / Appraisal, Work Satisfaction"
8992,Bhavani Erectors,Engineering & Construction ,3.7,82 Reviews,39 years old,"Job Security, Salary & Benefits, Promotions / Appraisal",
8993,JPM INDUSTRIES,Industrial Machinery ,3.9,82 Reviews,65 years old,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
8994,FINPLAN INTERNATIONAL EDUCATION,Education & Training ,4.6,82 Reviews,13 years old,"Skill Development / Learning, Work Satisfaction, Promotions / Appraisal",
8995,Exclusífe Technosoft,Retail ,3.0,82 Reviews,11 years old,"Job Security, Salary & Benefits, Work Satisfaction",
8996,Tracks Components,,3.7,82 Reviews,22 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
8997,Global Talent Track,Education & Training ,3.7,82 Reviews,16 years old,"Promotions / Appraisal, Work Life Balance, Salary & Benefits",
8998,Ecolab Digital Center,Chemicals ,3.6,82 Reviews,,Job Security,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
8999,Winkies,,3.8,81 Reviews,,Skill Development / Learning,Promotions / Appraisal
9000,Paramount Plaster,Metals & Mining ,3.6,81 Reviews,11 years old,,
9001,Medical Trust Hospital,Healthcare ,4.2,80 Reviews,51 years old,"Skill Development / Learning, Work Satisfaction, Work Life Balance",
9002,IMA-PG,Medical Equipment ,4.0,80 Reviews,63 years old,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
9003,United Biotech,Pharma ,4.0,80 Reviews,27 years old,"Job Security, Work Life Balance, Company Culture",Skill Development / Learning
9004,AJ Hospital and Research Centre,Healthcare ,3.9,79 Reviews,23 years old,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
9005,Relevantz Technology Services,IT Services & Consulting ,3.9,90 Reviews,49 years old,"Work Life Balance, Company Culture, Work Satisfaction",
9006,Satec Envir Engineering (I),Engineering & Construction ,4.2,89 Reviews,33 years old,"Skill Development / Learning, Salary & Benefits, Work Satisfaction",
9007,Techugo,IT Services & Consulting ,3.9,88 Reviews,9 years old,"Company Culture, Skill Development / Learning, Work Life Balance",
9008,Conde Nast India,Printing & Publishing ,3.6,87 Reviews,17 years old,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
9009,Vialto Partners,,2.9,87 Reviews,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",
9010,Pentair Water India,Industrial Machinery ,4.0,86 Reviews,58 years old,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
9011,Mylab Discovery Solutions,Internet ,3.3,86 Reviews,8 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
9012,Detroit Engineered Products,Automobile ,3.1,85 Reviews,26 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
9013,Learnbay,,3.9,85 Reviews,,"Salary & Benefits, Work Life Balance, Company Culture",
9014,Moolya Software Testing,IT Services & Consulting ,3.9,84 Reviews,14 years old,"Skill Development / Learning, Company Culture",Promotions / Appraisal
9015,HERO ECOTECH,Automobile ,4.1,84 Reviews,14 years old,"Work Life Balance, Job Security, Salary & Benefits",
9016,Tricon Infotech,IT Services & Consulting ,3.9,84 Reviews,27 years old,Salary & Benefits,
9017,Synergy Systems & Solutions,Industrial Automation ,4.0,84 Reviews,30 years old,"Skill Development / Learning, Work Satisfaction, Company Culture",
9018,Hsbc bank Hdpi,,4.1,84 Reviews,,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
9019,Virgo Laminates,Furniture & Furnishing ,4.1,84 Reviews,31 years old,"Skill Development / Learning, Promotions / Appraisal, Work Satisfaction",
9020,Consultancy Services,Recruitment ,3.9,84 Reviews,14 years old,"Work Life Balance, Company Culture, Skill Development / Learning",
9021,Transdyne IT Services,IT Services & Consulting ,3.4,84 Reviews,22 years old,Job Security,"Salary & Benefits, Promotions / Appraisal"
9022,Goqii,Fitness & Wellness ,3.7,83 Reviews,10 years old,"Work Life Balance, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits, Job Security"
9023,Walmart Labs,,3.8,83 Reviews,,"Job Security, Salary & Benefits, Work Life Balance",Promotions / Appraisal
9024,Utsav Fashion,Internet ,4.0,83 Reviews,24 years old,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
9025,INOXCVA,Financial Services ,4.1,83 Reviews,32 years old,"Job Security, Work Life Balance, Work Satisfaction",
9026,Growisto,Marketing & Advertising ,4.5,83 Reviews,8 years old,"Skill Development / Learning, Company Culture, Job Security",
9027,InfinityLabs,IT Services & Consulting ,3.0,83 Reviews,10 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
9028,Intec Infra-Technologies,Architecture & Interior Design ,3.2,83 Reviews,28 years old,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",
9029,TekFriday Processing Solutions,IT Services & Consulting ,4.0,83 Reviews,11 years old,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",
9030,JPM Group,Auto Components ,3.9,83 Reviews,,"Promotions / Appraisal, Salary & Benefits, Company Culture",
9031,Lavya Associates HR Services,Recruitment ,4.0,83 Reviews,12 years old,"Work Life Balance, Promotions / Appraisal, Skill Development / Learning",
9032,CADS Software,IT Services & Consulting ,4.0,83 Reviews,50 years old,"Promotions / Appraisal, Work Life Balance, Company Culture",
9033,Alice Blue Commodities,FinTech ,3.5,83 Reviews,18 years old,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",
9034,Bundy India,Auto Components ,3.9,83 Reviews,,"Company Culture, Work Satisfaction, Work Life Balance",
9035,Sequretek It Solutions,Emerging Technologies ,3.6,83 Reviews,11 years old,"Salary & Benefits, Work Satisfaction, Promotions / Appraisal",
9036,Sirca Paints India,Chemicals ,4.2,83 Reviews,18 years old,Work Life Balance,Company Culture
9037,Srmb Steel,Iron & Steel ,3.4,83 Reviews,73 years old,"Work Satisfaction, Salary & Benefits, Promotions / Appraisal",
9038,SAL STEEL,Iron & Steel ,3.5,83 Reviews,21 years old,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
9039,East West Seeds,FMCG ,4.5,83 Reviews,42 years old,"Company Culture, Skill Development / Learning, Work Satisfaction",
9040,Ruban Memorial Hospital,Healthcare ,4.0,83 Reviews,24 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
9041,Garuda Polyflex Foods,FMCG ,4.0,83 Reviews,12 years old,"Salary & Benefits, Work Life Balance, Company Culture","Promotions / Appraisal, Job Security"
9042,DentalKart,Internet ,4.2,83 Reviews,9 years old,"Job Security, Company Culture, Skill Development / Learning",
9043,Aditya Auto Products & Engineering,Auto Components ,3.5,82 Reviews,28 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
9044,Anglo-French Drugs & Industries,Pharma ,3.8,82 Reviews,101 years old,Company Culture,"Promotions / Appraisal, Job Security"
9045,Galderma,Healthcare ,3.5,82 Reviews,43 years old,Salary & Benefits,"Job Security, Promotions / Appraisal, Company Culture"
9046,BPO Systems,IT Services & Consulting ,4.0,82 Reviews,24 years old,"Work Satisfaction, Job Security, Company Culture",
9047,Signity Solutions,IT Services & Consulting ,4.4,82 Reviews,15 years old,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
9048,Jumbo Electronics,Retail ,3.5,82 Reviews,50 years old,"Salary & Benefits, Work Satisfaction, Company Culture",
9049,Parle Global Technologies,Pharma ,3.5,82 Reviews,50 years old,"Promotions / Appraisal, Salary & Benefits",
9050,GD Goenka International School,,3.8,82 Reviews,,"Job Security, Work Life Balance, Company Culture",
9051,Sumitomo Mitsui Banking Corporation,Financial Services ,2.7,82 Reviews,23 years old,Job Security,"Work Satisfaction, Company Culture, Skill Development / Learning"
9052,Prabha Industries,Chemicals ,3.7,82 Reviews,54 years old,"Job Security, Skill Development / Learning",Promotions / Appraisal
9053,Pearl Academy,Education & Training ,4.0,82 Reviews,31 years old,"Work Life Balance, Company Culture","Promotions / Appraisal, Skill Development / Learning"
9054,Crimsoune Club,Fashion & Textile ,4.1,82 Reviews,19 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
9055,Bhash Software Labs,Software Product ,3.3,82 Reviews,10 years old,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",
9056,Oxalis Pharmaceuticals,Pharma ,3.9,82 Reviews,12 years old,Job Security,
9057,BG LIIN Electrical,,3.7,82 Reviews,25 years old,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
9058,BANKEDGE,Education & Training ,3.9,82 Reviews,9 years old,"Skill Development / Learning, Job Security, Work Life Balance",
9059,BEC Chemicals,Pharma ,3.6,82 Reviews,45 years old,"Promotions / Appraisal, Job Security, Work Satisfaction",
9060,New Swan Multitech,Industrial Machinery ,3.8,82 Reviews,15 years old,"Salary & Benefits, Company Culture, Promotions / Appraisal",
9061,iPlaceUSA,Recruitment ,3.9,82 Reviews,18 years old,"Salary & Benefits, Promotions / Appraisal",Job Security
9062,Automotive Industry,,4.2,82 Reviews,,Work Life Balance,
9063,Trinity Engineers,Automobile ,4.2,82 Reviews,51 years old,"Skill Development / Learning, Company Culture, Work Life Balance",
9064,Apex Kidney Care,Healthcare ,3.8,82 Reviews,16 years old,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
9065,Jain Farm Fresh Foods,FMCG ,4.0,82 Reviews,61 years old,"Job Security, Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
9066,Mgm Hospital,Healthcare ,4.2,82 Reviews,7 years old,"Skill Development / Learning, Job Security","Salary & Benefits, Promotions / Appraisal"
9067,Baxter Pharmaceuticals,,4.4,82 Reviews,,"Work Life Balance, Company Culture, Salary & Benefits",
9068,Gainwell Technologies,IT Services & Consulting ,4.1,82 Reviews,15 years old,"Job Security, Work Life Balance, Company Culture",
9069,Meghmani Group,,3.4,82 Reviews,,"Promotions / Appraisal, Job Security, Skill Development / Learning",
9070,HyTech Professionals,IT Services & Consulting ,3.1,82 Reviews,20 years old,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",
9071,ATPI,Travel & Tourism ,4.2,82 Reviews,22 years old,"Job Security, Work Life Balance, Skill Development / Learning",
9072,Via.com,Media & Entertainment ,3.8,81 Reviews,19 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Company Culture"
9073,Vritti Solutions,IT Services & Consulting ,3.8,81 Reviews,19 years old,"Salary & Benefits, Promotions / Appraisal, Work Life Balance",
9074,Techtree It Systems,IT Services & Consulting ,2.6,81 Reviews,18 years old,"Salary & Benefits, Job Security, Promotions / Appraisal",
9075,Govt of Karnataka,Government ,4.0,81 Reviews,68 years old,"Work Life Balance, Job Security, Work Satisfaction",
9076,Colan Infotech,IT Services & Consulting ,4.0,81 Reviews,15 years old,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
9077,Asian Colour Coated Ispat,Metals & Mining ,4.1,81 Reviews,19 years old,"Work Life Balance, Job Security, Company Culture",
9078,Arki Techno Consultants,Engineering & Construction ,3.4,81 Reviews,17 years old,"Salary & Benefits, Promotions / Appraisal, Skill Development / Learning",
9079,Absotherm Facility Management,Facility Management Services ,4.3,81 Reviews,14 years old,"Work Life Balance, Skill Development / Learning, Company Culture",
9080,Reliance Footprint,Retail ,4.2,81 Reviews,17 years old,"Skill Development / Learning, Company Culture, Job Security",
9081,Aditya Birla Idea Payments Bank,FinTech ,3.6,81 Reviews,,"Skill Development / Learning, Company Culture, Salary & Benefits",
9082,HES Infra,Engineering & Construction ,4.2,81 Reviews,17 years old,"Skill Development / Learning, Company Culture, Work Life Balance",
9083,Allyis India,IT Services & Consulting ,3.0,81 Reviews,28 years old,"Skill Development / Learning, Job Security, Promotions / Appraisal",
9084,On Demand Agility Software,IT Services & Consulting ,3.6,81 Reviews,18 years old,"Job Security, Skill Development / Learning, Promotions / Appraisal",
9085,Good Health Tpa Services,Insurance ,4.0,81 Reviews,21 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
9086,HIDADA,Engineering & Construction ,3.6,81 Reviews,42 years old,Work Life Balance,"Salary & Benefits, Promotions / Appraisal, Job Security"
9087,Colan Infotech,IT Services & Consulting ,4.0,81 Reviews,15 years old,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
9088,Via.com,Media & Entertainment ,3.8,81 Reviews,19 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Company Culture"
9089,Arki Techno Consultants,Engineering & Construction ,3.4,81 Reviews,17 years old,"Salary & Benefits, Promotions / Appraisal, Skill Development / Learning",
9090,Asian Colour Coated Ispat,Metals & Mining ,4.1,81 Reviews,19 years old,"Work Life Balance, Job Security, Company Culture",
9091,Techtree It Systems,IT Services & Consulting ,2.6,81 Reviews,18 years old,"Salary & Benefits, Job Security, Promotions / Appraisal",
9092,Govt of Karnataka,Government ,4.0,81 Reviews,68 years old,"Work Life Balance, Job Security, Work Satisfaction",
9093,Vritti Solutions,IT Services & Consulting ,3.8,81 Reviews,19 years old,"Salary & Benefits, Promotions / Appraisal, Work Life Balance",
9094,SMC Real Estate Advisors,Real Estate ,3.5,81 Reviews,34 years old,"Job Security, Promotions / Appraisal, Skill Development / Learning",
9095,Gsp Power Projects,Electronics Manufacturing ,4.4,81 Reviews,29 years old,"Work Life Balance, Salary & Benefits, Skill Development / Learning",
9096,UpMan Placements,Recruitment ,4.0,81 Reviews,22 years old,"Work Life Balance, Skill Development / Learning, Company Culture",
9097,Absotherm Facility Management,Facility Management Services ,4.3,81 Reviews,14 years old,"Work Life Balance, Skill Development / Learning, Company Culture",
9098,Park Avenue,Beauty & Personal Care ,4.2,81 Reviews,60 years old,"Work Life Balance, Company Culture, Work Satisfaction",
9099,Golden Star Facilities and Services,Facility Management Services ,4.6,81 Reviews,16 years old,"Skill Development / Learning, Work Satisfaction, Work Life Balance",
9100,DLV Software,IT Services & Consulting ,4.0,81 Reviews,,"Skill Development / Learning, Work Satisfaction, Company Culture",Salary & Benefits
9101,AppLogiQ,IT Services & Consulting ,4.9,81 Reviews,4 years old,"Skill Development / Learning, Company Culture, Work Satisfaction",
9102,SMSlocal,,4.8,81 Reviews,,"Promotions / Appraisal, Salary & Benefits, Company Culture",
9103,Bestech Group,Real Estate ,4.0,80 Reviews,34 years old,"Job Security, Work Life Balance",Promotions / Appraisal
9104,Ars Traffic And Transport Technology,IT Services & Consulting ,2.6,80 Reviews,27 years old,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
9105,Shetty Infraservices,IT Services & Consulting ,4.0,80 Reviews,29 years old,"Skill Development / Learning, Work Satisfaction, Salary & Benefits",
9106,Jhajharia Nirman Limited,,4.1,80 Reviews,16 years old,"Skill Development / Learning, Work Satisfaction, Job Security",
9107,Hotel Hindusthan International,Hospitality ,4.3,80 Reviews,55 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
9108,Freudenberg Gala Household Product,Consumer Electronics & Appliances ,4.2,80 Reviews,15 years old,"Skill Development / Learning, Job Security, Company Culture",
9109,China Steel Corporation,Metals & Mining ,4.3,80 Reviews,53 years old,"Work Life Balance, Job Security, Company Culture",
9110,Sri Sai Power and Equipments,Industrial Machinery ,3.9,80 Reviews,11 years old,"Job Security, Skill Development / Learning, Work Life Balance",
9111,Cambridge School,Education & Training ,4.1,79 Reviews,93 years old,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
9112,Chevrolet,Automobile ,4.5,79 Reviews,113 years old,"Skill Development / Learning, Work Satisfaction, Job Security",
9113,Tyco International,Law Enforcement & Security ,4.6,79 Reviews,64 years old,"Skill Development / Learning, Salary & Benefits, Company Culture",
9114,Carillion Alawi LLC,Facility Management Services ,4.3,78 Reviews,45 years old,"Salary & Benefits, Work Satisfaction, Work Life Balance",Promotions / Appraisal
9115,Rhydburg Pharmaceuticals,Pharma ,3.6,91 Reviews,37 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
9116,Eviden,,3.7,90 Reviews,,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
9117,Delhi Integrated Multi Modal Transit System,Urban Transport ,4.1,89 Reviews,18 years old,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
9118,Besant Technologies,Education & Training ,3.6,87 Reviews,15 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
9119,Acsion Engineering,,4.1,87 Reviews,,"Company Culture, Work Life Balance, Skill Development / Learning",
9120,HTIC Global,,4.1,86 Reviews,,"Salary & Benefits, Company Culture, Promotions / Appraisal",
9121,RFCL,Agro Chemicals ,3.6,85 Reviews,9 years old,"Job Security, Work Life Balance","Skill Development / Learning, Promotions / Appraisal, Company Culture"
9122,Advanced Medtech Solutions,Medical Equipment ,3.6,85 Reviews,11 years old,"Job Security, Company Culture, Work Satisfaction",
9123,Simpl,Internet ,3.3,85 Reviews,9 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
9124,DNV,Analytics & KPO ,4.2,85 Reviews,160 years old,"Work Life Balance, Company Culture, Job Security","Salary & Benefits, Promotions / Appraisal"
9125,Josh Software,IT Services & Consulting ,3.2,84 Reviews,,"Promotions / Appraisal, Job Security, Salary & Benefits",
9126,Winman Software,Software Product ,4.0,84 Reviews,20 years old,"Job Security, Work Life Balance, Company Culture",
9127,Escorts Railway Equipment Division,Industrial Machinery ,3.8,84 Reviews,62 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
9128,Empower,Insurance ,3.9,84 Reviews,8 years old,"Job Security, Salary & Benefits","Skill Development / Learning, Work Satisfaction, Promotions / Appraisal"
9129,TUV Rheinland Group,Law Enforcement & Security ,4.2,84 Reviews,152 years old,"Work Life Balance, Job Security, Work Satisfaction",
9130,CARS24 Financial Services,,3.1,84 Reviews,,"Promotions / Appraisal, Job Security, Work Life Balance",
9131,Difacto Robotics and Automation,Industrial Automation ,3.8,83 Reviews,17 years old,"Job Security, Skill Development / Learning","Work Life Balance, Work Satisfaction, Promotions / Appraisal"
9132,IMS Learning Resources,Education & Training ,3.6,83 Reviews,47 years old,"Promotions / Appraisal, Job Security, Skill Development / Learning",
9133,Kich Architectural Products,Architecture & Interior Design ,3.9,83 Reviews,21 years old,"Company Culture, Work Satisfaction, Job Security",
9134,MCaffeine,Beauty & Personal Care ,3.7,83 Reviews,8 years old,"Work Life Balance, Promotions / Appraisal, Work Satisfaction",
9135,IG Infotech India,IT Services & Consulting ,3.9,83 Reviews,20 years old,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
9136,Indian Institute of Management,Education & Training ,3.9,83 Reviews,,Work Life Balance,"Promotions / Appraisal, Job Security, Salary & Benefits"
9137,Oswal Woollen Mills,Fashion & Textile ,3.9,83 Reviews,75 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
9138,Apollo Cradle,,4.0,83 Reviews,12 years old,"Work Life Balance, Job Security, Skill Development / Learning",
9139,Arvind Textile Mills,Fashion & Textile ,4.5,83 Reviews,93 years old,"Work Life Balance, Job Security, Company Culture",
9140,FINE COMPONENTS AND TOOLS,Industrial Machinery ,3.5,82 Reviews,27 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
9141,MODI HYUNDAI,Automobile ,3.8,82 Reviews,15 years old,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",
9142,Solenis,Chemicals ,4.1,82 Reviews,117 years old,"Work Life Balance, Salary & Benefits, Company Culture",
9143,Sms Envocare,Waste Management ,4.1,82 Reviews,21 years old,"Work Life Balance, Job Security, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
9144,Scott Edil Pharmacia,Pharma ,3.8,82 Reviews,28 years old,"Promotions / Appraisal, Work Satisfaction, Job Security",
9145,Kun Hyundai,Automobile ,4.2,82 Reviews,26 years old,"Skill Development / Learning, Job Security, Work Life Balance",Promotions / Appraisal
9146,Anand Engineering Products,Engineering & Construction ,3.7,82 Reviews,48 years old,Skill Development / Learning,"Job Security, Promotions / Appraisal, Work Life Balance"
9147,CoinDCX,Emerging Technologies ,3.8,82 Reviews,7 years old,"Salary & Benefits, Work Life Balance","Job Security, Promotions / Appraisal"
9148,Sarvatra Technologies,FinTech ,4.3,82 Reviews,24 years old,"Job Security, Company Culture, Work Life Balance",
9149,Information Evolution,IT Services & Consulting ,3.6,82 Reviews,17 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
9150,Zee News,Broadcasting ,3.8,82 Reviews,25 years old,"Skill Development / Learning, Work Satisfaction, Work Life Balance",
9151,Indu Projects,Engineering & Construction ,4.1,82 Reviews,23 years old,"Company Culture, Work Satisfaction, Skill Development / Learning",
9152,International SOS,Healthcare ,3.9,82 Reviews,24 years old,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
9153,Anvil Cables,Semiconductors ,4.1,82 Reviews,15 years old,"Promotions / Appraisal, Job Security",
9154,Mahabal Group of Industries,Auto Components ,3.8,82 Reviews,59 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
9155,Mcnally Sayaji Engineering,Industrial Machinery ,3.8,82 Reviews,63 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
9156,Nipro Medical,Healthcare ,4.1,82 Reviews,70 years old,"Skill Development / Learning, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
9157,CAPLIN STERILES,,3.0,82 Reviews,5 years old,"Job Security, Company Culture, Promotions / Appraisal",
9158,Das Writing Services,Internet ,3.9,81 Reviews,13 years old,"Skill Development / Learning, Company Culture, Work Life Balance",
9159,Safety Circle,Facility Management Services ,3.5,81 Reviews,20 years old,Skill Development / Learning,
9160,Aloft Hotels,Hospitality ,3.9,81 Reviews,17 years old,Job Security,Promotions / Appraisal
9161,Digital Academy 360,Education & Training ,4.4,81 Reviews,9 years old,"Work Life Balance, Company Culture, Job Security",
9162,Gvk Power & Infrastructure,Aviation ,3.9,81 Reviews,19 years old,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
9163,Mahindra Accelo,Iron & Steel ,4.0,81 Reviews,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",
9164,Sahyadri Farms,Internet ,4.1,81 Reviews,13 years old,Company Culture,"Promotions / Appraisal, Job Security"
9165,RICE GROUP,Education & Training ,3.3,81 Reviews,39 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
9166,Planit Testing India,IT Services & Consulting ,3.7,81 Reviews,27 years old,Skill Development / Learning,"Promotions / Appraisal, Company Culture"
9167,Krishna Ishizaki Auto,Automobile ,4.1,81 Reviews,15 years old,"Work Life Balance, Company Culture, Salary & Benefits",
9168,Smartchem Technologies,Agro Chemicals ,3.6,81 Reviews,37 years old,"Promotions / Appraisal, Company Culture, Work Satisfaction",
9169,JPAL,Analytics & KPO ,4.4,81 Reviews,21 years old,"Skill Development / Learning, Company Culture, Work Satisfaction",
9170,Jolly Containers,Petrochemicals ,4.1,81 Reviews,57 years old,"Work Life Balance, Job Security, Skill Development / Learning",
9171,Tiwana Oil Mills,Food Processing ,3.8,81 Reviews,25 years old,"Promotions / Appraisal, Job Security, Work Life Balance",
9172,Radiant Hitech Eng,Industrial Machinery ,4.0,81 Reviews,45 years old,Skill Development / Learning,
9173,SDP & Associates (Office),Accounting & Auditing ,3.0,81 Reviews,31 years old,"Promotions / Appraisal, Work Life Balance, Job Security",
9174,LambdaTest,Software Product ,4.6,81 Reviews,7 years old,"Salary & Benefits, Company Culture, Skill Development / Learning",
9175,Integrace Health,Pharma ,3.4,81 Reviews,6 years old,"Work Life Balance, Job Security, Work Satisfaction",
9176,Lotus Valley International School,Education & Training ,3.7,81 Reviews,20 years old,"Promotions / Appraisal, Company Culture, Work Life Balance",
9177,Yoma Multinational Solutions,Recruitment ,3.9,81 Reviews,12 years old,Work Life Balance,Promotions / Appraisal
9178,Merino Panel Products,Furniture & Furnishing ,4.1,81 Reviews,50 years old,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
9179,Mobily Infotech,Telecom ,3.9,81 Reviews,17 years old,"Job Security, Company Culture, Work Satisfaction",Promotions / Appraisal
9180,Sahyadri Farms,Internet ,4.1,81 Reviews,13 years old,Company Culture,"Promotions / Appraisal, Job Security"
9181,Gvk Power & Infrastructure,Aviation ,3.9,81 Reviews,19 years old,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
9182,Aloft Hotels,Hospitality ,3.9,81 Reviews,17 years old,Job Security,Promotions / Appraisal
9183,Safety Circle,Facility Management Services ,3.5,81 Reviews,20 years old,Skill Development / Learning,
9184,Brindavan Bottlers,Beverage ,4.2,81 Reviews,39 years old,"Skill Development / Learning, Work Life Balance, Job Security",Promotions / Appraisal
9185,Yoma Multinational Solutions,Recruitment ,3.9,81 Reviews,12 years old,Work Life Balance,Promotions / Appraisal
9186,Merino Panel Products,Furniture & Furnishing ,4.1,81 Reviews,50 years old,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
9187,BHARAT TECHNO PLAST,Auto Components ,3.8,81 Reviews,32 years old,"Work Life Balance, Promotions / Appraisal, Job Security",
9188,GXO,,3.8,81 Reviews,,Work Life Balance,Promotions / Appraisal
9189,Integrace Health,Pharma ,3.4,81 Reviews,6 years old,"Work Life Balance, Job Security, Work Satisfaction",
9190,Worldwide Oilfield Machine,Oil & Gas ,4.4,81 Reviews,44 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
9191,Kingfisher Airlines,Aviation ,4.7,80 Reviews,21 years old,Work Life Balance,"Job Security, Promotions / Appraisal, Skill Development / Learning"
9192,Accord Software & Systems,Software Product ,3.8,80 Reviews,33 years old,Job Security,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
9193,Advance Auto Parts,Auto Components ,3.7,80 Reviews,92 years old,"Salary & Benefits, Work Life Balance, Company Culture",Promotions / Appraisal
9194,Simbhaoli Sugars,Food Processing ,3.5,80 Reviews,91 years old,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
9195,Trustline Securities,Investment Banking / Venture Capital / Private Equity ,4.2,80 Reviews,29 years old,"Work Life Balance, Work Satisfaction, Company Culture",
9196,Louis Dreyfus Commodities,,4.1,80 Reviews,27 years old,"Company Culture, Work Life Balance, Job Security",
